id,titulo_original,puesto,empresa,portal,fecha_publicacion,salario_min,salario_max,experiencia_anios,categoria_rol,descripcion,es_simulado,habilidades
104,React Developer,React Developer,Telered,LinkedIn,2026-06-04,1700.0,2100.0,3,Frontend,"En Telered requerimos React Developer con experiencia en JavaScript, Vue para liderar nuestra transformación digital.",1,"Vue,JavaScript"
105,Frontend Developer,Frontend Developer,Global Bank,LinkedIn,2026-03-04,1600.0,2000.0,3,Frontend,"En Global Bank requerimos Frontend Developer con experiencia en TypeScript, HTML, Git para liderar nuestra transformación digital.",1,"HTML,TypeScript,Angular,Git"
106,Data Analyst,Data Analyst,Sonda Panamá,Konzerta,2026-03-18,2000.0,3600.0,2,Data & Analytics,"En Sonda Panamá requerimos Data Analyst con experiencia en Excel, PostgreSQL, Tableau para liderar nuestra transformación digital.",1,"Excel,PostgreSQL,Python,Tableau"
107,Fullstack Engineer,Fullstack Engineer,Banistmo,Konzerta,2026-03-02,2500.0,3600.0,1,Fullstack,"Buscamos un Fullstack Engineer para nuestro equipo de tecnología en Banistmo, Panamá.",1,"SQL,JavaScript"
108,Frontend Developer,Frontend Developer,Tigo Panamá,Konzerta,2026-02-26,1700.0,2200.0,2,Frontend,"En Tigo Panamá requerimos Frontend Developer con experiencia en HTML, Git, React para liderar nuestra transformación digital.",1,"HTML,Vue,Git,React"
109,Administrador de Sistemas,Administrador de Sistemas,Autoridad del Canal de Panamá (ACP),Computrabajo,2026-03-11,1200.0,1700.0,1,Soporte & IT,"En Autoridad del Canal de Panamá (ACP) requerimos Administrador de Sistemas con experiencia en Excel, Linux, Windows Server para liderar nuestra transformación digital.",1,"Excel,Linux,Windows Server"
110,iOS App Developer,iOS App Developer,Cable & Wireless,Computrabajo,2026-05-18,1900.0,2600.0,1,Mobile,Gran oportunidad en Ciudad de Panamá. Cable & Wireless busca iOS App Developer con al menos 1 años de experiencia.,1,"JavaScript,Kotlin,React Native"
111,Soporte Técnico IT,Soporte Técnico IT,Cable & Wireless,Konzerta,2026-04-07,800.0,1500.0,2,Soporte & IT,Gran oportunidad en Ciudad de Panamá. Cable & Wireless busca Soporte Técnico IT con al menos 2 años de experiencia.,1,"Excel,Jira"
112,Frontend Developer,Frontend Developer,GBM Panamá,LinkedIn,2026-02-19,1800.0,2100.0,1,Frontend,Gran oportunidad en Ciudad de Panamá. GBM Panamá busca Frontend Developer con al menos 1 años de experiencia.,1,"HTML,Vue,TypeScript,Git"
113,Scrum Master,Scrum Master,Multibank,Computrabajo,2026-03-12,2000.0,3100.0,1,Gestión & Agile,"En Multibank requerimos Scrum Master con experiencia en Jira, Excel, Scrum para liderar nuestra transformación digital.",1,"Excel,Agile,Scrum,Jira"
114,Data Scientist,Data Scientist,Autoridad del Canal de Panamá (ACP),LinkedIn,2026-02-21,2000.0,2900.0,3,Data & Analytics,"En Autoridad del Canal de Panamá (ACP) requerimos Data Scientist con experiencia en Spark, Excel, PostgreSQL para liderar nuestra transformación digital.",1,"Excel,PostgreSQL,Spark"
115,iOS App Developer,iOS App Developer,Global Bank,Computrabajo,2025-12-23,1300.0,1900.0,1,Mobile,"Buscamos un iOS App Developer para nuestro equipo de tecnología en Global Bank, Panamá.",1,"Flutter,Swift,Kotlin,React Native"
116,DevOps Engineer,DevOps Engineer,PwC Panamá,LinkedIn,2026-03-20,2300.0,3700.0,2,DevOps & Cloud,Gran oportunidad en Ciudad de Panamá. PwC Panamá busca DevOps Engineer con al menos 2 años de experiencia.,1,"Kubernetes,Docker"
117,Fullstack Engineer,Fullstack Engineer,Dell Technologies Panamá,Computrabajo,2026-02-10,2100.0,3300.0,2,Fullstack,"Buscamos un Fullstack Engineer para nuestro equipo de tecnología en Dell Technologies Panamá, Panamá.",1,"SQL,Git,React"
118,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Telered,LinkedIn,2026-06-05,2100.0,3500.0,1,Fullstack,"En Telered requerimos Desarrollador Web Fullstack con experiencia en SQL, Git para liderar nuestra transformación digital.",1,"SQL,Git"
119,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Multibank,Computrabajo,2026-03-23,2100.0,3900.0,2,DevOps & Cloud,"Buscamos un Cloud Infrastructure Specialist para nuestro equipo de tecnología en Multibank, Panamá.",1,"Python,Kubernetes,Azure"
120,Python Developer,Python Developer,Cable & Wireless,Computrabajo,2026-02-12,1600.0,2100.0,1,Backend,Gran oportunidad en Ciudad de Panamá. Cable & Wireless busca Python Developer con al menos 1 años de experiencia.,1,"Spring Boot,.NET"
121,Java Engineer,Java Engineer,Sonda Panamá,Computrabajo,2026-01-04,1900.0,3200.0,1,Backend,"Buscamos un Java Engineer para nuestro equipo de tecnología en Sonda Panamá, Panamá.",1,"Node.js,Git,Docker,Spring Boot"
122,Android Developer,Android Developer,Global Bank,Konzerta,2026-06-03,1600.0,2400.0,2,Mobile,"Buscamos un Android Developer para nuestro equipo de tecnología en Global Bank, Panamá.",1,"Git,Flutter,JavaScript,Swift"
123,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Encuentra24 PA,Computrabajo,2026-05-02,2300.0,3600.0,2,Fullstack,"Buscamos un Desarrollador Web Fullstack para nuestro equipo de tecnología en Encuentra24 PA, Panamá.",1,"Node.js,Git,Docker,JavaScript,React"
124,Frontend Developer,Frontend Developer,PwC Panamá,Computrabajo,2026-06-13,1600.0,2400.0,3,Frontend,Gran oportunidad en Ciudad de Panamá. PwC Panamá busca Frontend Developer con al menos 3 años de experiencia.,1,"Vue,JavaScript"
125,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Sonda Panamá,LinkedIn,2026-05-10,1600.0,2700.0,2,Fullstack,Gran oportunidad en Ciudad de Panamá. Sonda Panamá busca Desarrollador Web Fullstack con al menos 2 años de experiencia.,1,"Python,Git,React"
126,Administrador Cloud,Administrador Cloud,Multibank,Computrabajo,2026-05-08,1800.0,3700.0,2,DevOps & Cloud,"En Multibank requerimos Administrador Cloud con experiencia en Kubernetes, Git, Linux para liderar nuestra transformación digital.",1,"Git,Kubernetes,Azure,Linux"
127,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Multibank,Konzerta,2026-03-14,1900.0,3600.0,1,DevOps & Cloud,"En Multibank requerimos Cloud Infrastructure Specialist con experiencia en Git, Linux para liderar nuestra transformación digital.",1,"Git,Linux"
128,Fullstack Engineer,Fullstack Engineer,KPMG Panamá,LinkedIn,2025-12-22,1800.0,2500.0,2,Fullstack,"En KPMG Panamá requerimos Fullstack Engineer con experiencia en Git, React, Docker para liderar nuestra transformación digital.",1,"Python,Git,Docker,React"
129,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Caja de Seguro Social,LinkedIn,2026-05-17,2200.0,3300.0,2,Fullstack,"En Caja de Seguro Social requerimos Desarrollador Web Fullstack con experiencia en Python, React, JavaScript para liderar nuestra transformación digital.",1,"Python,Node.js,AWS,JavaScript,React"
130,DevOps Engineer,DevOps Engineer,Tigo Panamá,Computrabajo,2026-02-13,2700.0,3000.0,8,DevOps & Cloud,"En Tigo Panamá requerimos DevOps Engineer con experiencia en Kubernetes, Git, AWS para liderar nuestra transformación digital.",1,"Git,AWS,Kubernetes"
131,Fullstack Engineer,Fullstack Engineer,Caja de Seguro Social,LinkedIn,2026-03-10,1800.0,2400.0,1,Fullstack,"En Caja de Seguro Social requerimos Fullstack Engineer con experiencia en SQL, Git, JavaScript para liderar nuestra transformación digital.",1,"SQL,Node.js,Git,AWS,JavaScript"
132,Administrador de Sistemas,Administrador de Sistemas,Caja de Seguro Social,Computrabajo,2025-12-23,800.0,1300.0,2,Soporte & IT,"En Caja de Seguro Social requerimos Administrador de Sistemas con experiencia en Excel, Cisco para liderar nuestra transformación digital.",1,"Excel,Cisco"
133,IT Project Manager,IT Project Manager,Autoridad del Canal de Panamá (ACP),LinkedIn,2026-02-07,1900.0,3400.0,3,Gestión & Agile,"Buscamos un IT Project Manager para nuestro equipo de tecnología en Autoridad del Canal de Panamá (ACP), Panamá.",1,"Agile,Jira"
134,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Multibank,Computrabajo,2026-03-07,2200.0,4300.0,3,DevOps & Cloud,Gran oportunidad en Ciudad de Panamá. Multibank busca Cloud Infrastructure Specialist con al menos 3 años de experiencia.,1,"Git,Docker,Linux"
135,React Developer,React Developer,PwC Panamá,Computrabajo,2026-02-13,1400.0,1800.0,2,Frontend,"Buscamos un React Developer para nuestro equipo de tecnología en PwC Panamá, Panamá.",1,"TypeScript,Angular"
136,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Banco General,Konzerta,2026-05-20,1900.0,2500.0,1,Fullstack,Gran oportunidad en Ciudad de Panamá. Banco General busca Desarrollador Web Fullstack con al menos 1 años de experiencia.,1,"SQL,Git,Docker,JavaScript,React"
137,Fullstack Engineer,Fullstack Engineer,Banistmo,Computrabajo,2026-03-31,1700.0,2500.0,2,Fullstack,Gran oportunidad en Ciudad de Panamá. Banistmo busca Fullstack Engineer con al menos 2 años de experiencia.,1,"SQL,Python,Docker,React"
138,BI Engineer,BI Engineer,Multibank,Konzerta,2026-05-10,2200.0,3600.0,2,Data & Analytics,Gran oportunidad en Ciudad de Panamá. Multibank busca BI Engineer con al menos 2 años de experiencia.,1,"Excel,PostgreSQL,Tableau,Spark,Power BI"
139,Data Analyst,Data Analyst,Encuentra24 PA,LinkedIn,2026-03-22,1700.0,2800.0,1,Data & Analytics,"Buscamos un Data Analyst para nuestro equipo de tecnología en Encuentra24 PA, Panamá.",1,"Spark,R"
140,Ingeniero de Soporte,Ingeniero de Soporte,Caja de Seguro Social,LinkedIn,2026-03-29,1000.0,1800.0,3,Soporte & IT,"Buscamos un Ingeniero de Soporte para nuestro equipo de tecnología en Caja de Seguro Social, Panamá.",1,"Jira,Linux,Windows Server"
141,Mobile Developer,Mobile Developer,PwC Panamá,Konzerta,2026-05-14,1900.0,2200.0,1,Mobile,Gran oportunidad en Ciudad de Panamá. PwC Panamá busca Mobile Developer con al menos 1 años de experiencia.,1,"Flutter,JavaScript,Swift,Kotlin,React Native"
142,UI Developer,UI Developer,PwC Panamá,LinkedIn,2026-03-29,1400.0,2400.0,1,Frontend,"Buscamos un UI Developer para nuestro equipo de tecnología en PwC Panamá, Panamá.",1,"HTML,Git,CSS"
143,Mobile Developer,Mobile Developer,Sonda Panamá,Konzerta,2026-03-19,1500.0,1800.0,1,Mobile,"En Sonda Panamá requerimos Mobile Developer con experiencia en Swift, React Native, Kotlin para liderar nuestra transformación digital.",1,"Swift,Kotlin,React Native"
144,Scrum Master,Scrum Master,EY Panamá,LinkedIn,2026-04-15,2700.0,3200.0,4,Gestión & Agile,"Buscamos un Scrum Master para nuestro equipo de tecnología en EY Panamá, Panamá.",1,"Agile,Scrum"
145,iOS App Developer,iOS App Developer,EY Panamá,Computrabajo,2026-01-19,1900.0,2500.0,1,Mobile,"En EY Panamá requerimos iOS App Developer con experiencia en React Native, Git, Flutter para liderar nuestra transformación digital.",1,"Git,Flutter,JavaScript,Kotlin,React Native"
146,Data Analyst,Data Analyst,Copa Airlines,Computrabajo,2026-03-26,2200.0,3500.0,2,Data & Analytics,"Buscamos un Data Analyst para nuestro equipo de tecnología en Copa Airlines, Panamá.",1,"SQL,Python,Spark,Power BI"
147,Fullstack Engineer,Fullstack Engineer,Telered,Konzerta,2026-05-11,2100.0,2700.0,3,Fullstack,Gran oportunidad en Ciudad de Panamá. Telered busca Fullstack Engineer con al menos 3 años de experiencia.,1,"Git,AWS,Docker,React"
148,Android Developer,Android Developer,Multibank,Konzerta,2026-05-14,1700.0,2500.0,2,Mobile,"Buscamos un Android Developer para nuestro equipo de tecnología en Multibank, Panamá.",1,"Git,Flutter,JavaScript,Kotlin,React Native"
149,Android Developer,Android Developer,Banistmo,Computrabajo,2026-04-25,1800.0,2100.0,3,Mobile,Gran oportunidad en Ciudad de Panamá. Banistmo busca Android Developer con al menos 3 años de experiencia.,1,"Git,Flutter,JavaScript,React Native"
150,IT Project Manager,IT Project Manager,KPMG Panamá,Konzerta,2026-01-07,2100.0,3800.0,3,Gestión & Agile,Gran oportunidad en Ciudad de Panamá. KPMG Panamá busca IT Project Manager con al menos 3 años de experiencia.,1,"Excel,Agile,Jira"
151,Analista de Datos,Analista de Datos,Autoridad del Canal de Panamá (ACP),Konzerta,2026-04-03,2200.0,3200.0,1,Data & Analytics,"Buscamos un Analista de Datos para nuestro equipo de tecnología en Autoridad del Canal de Panamá (ACP), Panamá.",1,"Excel,SQL"
152,Data Analyst,Data Analyst,Multibank,Konzerta,2026-04-12,1900.0,3100.0,3,Data & Analytics,"Buscamos un Data Analyst para nuestro equipo de tecnología en Multibank, Panamá.",1,"Python,Tableau"
153,Java Engineer,Java Engineer,EY Panamá,Konzerta,2026-05-25,2100.0,2800.0,2,Backend,"En EY Panamá requerimos Java Engineer con experiencia en PostgreSQL, Python para liderar nuestra transformación digital.",1,"PostgreSQL,Python"
154,IT Project Manager,IT Project Manager,Encuentra24 PA,Computrabajo,2026-05-27,2600.0,3400.0,7,Gestión & Agile,Gran oportunidad en Ciudad de Panamá. Encuentra24 PA busca IT Project Manager con al menos 7 años de experiencia.,1,"Agile,Scrum"
155,Fullstack Engineer,Fullstack Engineer,KPMG Panamá,LinkedIn,2026-03-04,2500.0,3900.0,2,Fullstack,Gran oportunidad en Ciudad de Panamá. KPMG Panamá busca Fullstack Engineer con al menos 2 años de experiencia.,1,"SQL,Node.js,Git,AWS,React"
156,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Global Bank,LinkedIn,2026-03-26,1600.0,2200.0,1,Fullstack,"En Global Bank requerimos Desarrollador Web Fullstack con experiencia en React, Docker, Git para liderar nuestra transformación digital.",1,"Python,Git,Docker,React"
157,Data Analyst,Data Analyst,EY Panamá,Konzerta,2025-12-30,2100.0,3000.0,3,Data & Analytics,"En EY Panamá requerimos Data Analyst con experiencia en SQL, Spark, Power BI para liderar nuestra transformación digital.",1,"SQL,PostgreSQL,Spark,R,Power BI"
158,Frontend Developer,Frontend Developer,Autoridad del Canal de Panamá (ACP),Computrabajo,2025-12-28,1700.0,2700.0,2,Frontend,"Buscamos un Frontend Developer para nuestro equipo de tecnología en Autoridad del Canal de Panamá (ACP), Panamá.",1,"HTML,Git"
159,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Copa Airlines,LinkedIn,2026-03-23,2400.0,3700.0,2,Fullstack,Gran oportunidad en Ciudad de Panamá. Copa Airlines busca Desarrollador Web Fullstack con al menos 2 años de experiencia.,1,"SQL,Git,React"
160,Scrum Master,Scrum Master,Multibank,LinkedIn,2026-04-23,2400.0,3000.0,1,Gestión & Agile,"Buscamos un Scrum Master para nuestro equipo de tecnología en Multibank, Panamá.",1,"Excel,Agile"
161,Python Developer,Python Developer,KPMG Panamá,Computrabajo,2026-04-28,1600.0,2000.0,3,Backend,"En KPMG Panamá requerimos Python Developer con experiencia en SQL, C#, Spring Boot para liderar nuestra transformación digital.",1,"SQL,Spring Boot,C#"
162,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Tigo Panamá,LinkedIn,2026-04-20,2200.0,2600.0,2,Fullstack,"Buscamos un Desarrollador Web Fullstack para nuestro equipo de tecnología en Tigo Panamá, Panamá.",1,"Python,Git,AWS,JavaScript,React"
163,Administrador de Sistemas,Administrador de Sistemas,EY Panamá,LinkedIn,2026-04-24,900.0,1700.0,3,Soporte & IT,Gran oportunidad en Ciudad de Panamá. EY Panamá busca Administrador de Sistemas con al menos 3 años de experiencia.,1,"Jira,Linux,Windows Server"
164,Analista de Datos,Analista de Datos,Encuentra24 PA,Konzerta,2026-05-28,1900.0,2800.0,2,Data & Analytics,Gran oportunidad en Ciudad de Panamá. Encuentra24 PA busca Analista de Datos con al menos 2 años de experiencia.,1,"Python,Spark,Power BI"
165,Scrum Master,Scrum Master,Autoridad del Canal de Panamá (ACP),LinkedIn,2026-03-30,1800.0,2100.0,1,Gestión & Agile,"En Autoridad del Canal de Panamá (ACP) requerimos Scrum Master con experiencia en Jira, Excel, Scrum para liderar nuestra transformación digital.",1,"Excel,Agile,Scrum,Jira"
166,Administrador de Sistemas,Administrador de Sistemas,Banco General,Konzerta,2026-02-17,1000.0,1600.0,1,Soporte & IT,"En Banco General requerimos Administrador de Sistemas con experiencia en Linux, Jira, Windows Server para liderar nuestra transformación digital.",1,"Excel,Jira,Linux,Windows Server,Cisco"
167,Ingeniero de Soporte,Ingeniero de Soporte,Caja de Seguro Social,Konzerta,2026-03-19,900.0,1700.0,2,Soporte & IT,"Buscamos un Ingeniero de Soporte para nuestro equipo de tecnología en Caja de Seguro Social, Panamá.",1,"Jira,Linux"
168,Python Developer,Python Developer,GBM Panamá,Konzerta,2026-02-14,1700.0,2300.0,2,Backend,Gran oportunidad en Ciudad de Panamá. GBM Panamá busca Python Developer con al menos 2 años de experiencia.,1,"PostgreSQL,Java,.NET,C#"
169,Fullstack Engineer,Fullstack Engineer,Banco General,Computrabajo,2026-01-03,1600.0,2000.0,1,Fullstack,"Buscamos un Fullstack Engineer para nuestro equipo de tecnología en Banco General, Panamá.",1,"Node.js,Git"
170,Administrador de Sistemas,Administrador de Sistemas,Banco General,Konzerta,2026-05-27,900.0,1800.0,3,Soporte & IT,"Buscamos un Administrador de Sistemas para nuestro equipo de tecnología en Banco General, Panamá.",1,"Excel,Jira,Linux,Windows Server,Cisco"
171,React Developer,React Developer,PwC Panamá,Computrabajo,2025-12-24,1400.0,1900.0,2,Frontend,Gran oportunidad en Ciudad de Panamá. PwC Panamá busca React Developer con al menos 2 años de experiencia.,1,"HTML,Vue,TypeScript,Angular,CSS"
172,Soporte Técnico IT,Soporte Técnico IT,GBM Panamá,LinkedIn,2026-03-06,900.0,1300.0,2,Soporte & IT,"En GBM Panamá requerimos Soporte Técnico IT con experiencia en Jira, Excel, Cisco para liderar nuestra transformación digital.",1,"Excel,Jira,Linux,Cisco"
173,BI Engineer,BI Engineer,Banco General,Computrabajo,2026-02-02,1800.0,2500.0,3,Data & Analytics,"En Banco General requerimos BI Engineer con experiencia en SQL, Excel, Spark para liderar nuestra transformación digital.",1,"Excel,SQL,Spark,Power BI"
174,React Developer,React Developer,Cable & Wireless,Konzerta,2026-05-20,1700.0,2700.0,3,Frontend,"Buscamos un React Developer para nuestro equipo de tecnología en Cable & Wireless, Panamá.",1,"HTML,Angular,JavaScript"
175,Fullstack Engineer,Fullstack Engineer,Multibank,Konzerta,2026-02-01,2500.0,3400.0,3,Fullstack,"Buscamos un Fullstack Engineer para nuestro equipo de tecnología en Multibank, Panamá.",1,"Python,Node.js,Git,AWS,React"
176,React Developer,React Developer,PwC Panamá,Konzerta,2026-03-23,1500.0,2300.0,3,Frontend,Gran oportunidad en Ciudad de Panamá. PwC Panamá busca React Developer con al menos 3 años de experiencia.,1,"TypeScript,Git,JavaScript,React"
177,Android Developer,Android Developer,Copa Airlines,LinkedIn,2026-01-11,1700.0,2400.0,3,Mobile,"Buscamos un Android Developer para nuestro equipo de tecnología en Copa Airlines, Panamá.",1,"Git,Flutter,Swift,React Native"
178,Java Engineer,Java Engineer,Tigo Panamá,LinkedIn,2026-03-15,2200.0,3400.0,2,Backend,"Buscamos un Java Engineer para nuestro equipo de tecnología en Tigo Panamá, Panamá.",1,"Python,C#"
179,Fullstack Engineer,Fullstack Engineer,Banco General,LinkedIn,2026-01-22,2100.0,3500.0,1,Fullstack,Gran oportunidad en Ciudad de Panamá. Banco General busca Fullstack Engineer con al menos 1 años de experiencia.,1,"Python,React"
180,DevOps Engineer,DevOps Engineer,Multibank,Computrabajo,2026-04-15,2000.0,2700.0,1,DevOps & Cloud,"Buscamos un DevOps Engineer para nuestro equipo de tecnología en Multibank, Panamá.",1,"Python,Kubernetes,Azure"
181,Fullstack Engineer,Fullstack Engineer,Banco General,LinkedIn,2026-04-04,2400.0,2700.0,1,Fullstack,"Buscamos un Fullstack Engineer para nuestro equipo de tecnología en Banco General, Panamá.",1,"Node.js,Git,JavaScript,React"
182,Analista de Datos,Analista de Datos,Sonda Panamá,Computrabajo,2026-06-08,2400.0,3500.0,1,Data & Analytics,Gran oportunidad en Ciudad de Panamá. Sonda Panamá busca Analista de Datos con al menos 1 años de experiencia.,1,"Excel,SQL,Spark"
183,Mobile Developer,Mobile Developer,Banistmo,LinkedIn,2026-01-14,1800.0,2300.0,1,Mobile,"Buscamos un Mobile Developer para nuestro equipo de tecnología en Banistmo, Panamá.",1,"Git,Flutter,Kotlin,React Native"
184,Android Developer,Android Developer,Caja de Seguro Social,Computrabajo,2026-05-15,1800.0,3000.0,1,Mobile,Gran oportunidad en Ciudad de Panamá. Caja de Seguro Social busca Android Developer con al menos 1 años de experiencia.,1,"Git,JavaScript,Swift,Kotlin,React Native"
185,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Multibank,Konzerta,2026-01-31,2400.0,4400.0,2,DevOps & Cloud,"En Multibank requerimos Cloud Infrastructure Specialist con experiencia en Docker, Terraform para liderar nuestra transformación digital.",1,"Docker,Terraform"
186,Ingeniero de Soporte,Ingeniero de Soporte,Banistmo,LinkedIn,2026-05-06,1100.0,1700.0,1,Soporte & IT,"En Banistmo requerimos Ingeniero de Soporte con experiencia en Jira, Linux para liderar nuestra transformación digital.",1,"Jira,Linux"
187,Android Developer,Android Developer,Global Bank,LinkedIn,2026-04-24,1400.0,2400.0,1,Mobile,"En Global Bank requerimos Android Developer con experiencia en JavaScript, Swift, React Native para liderar nuestra transformación digital.",1,"JavaScript,Swift,React Native"
188,Scrum Master,Scrum Master,Caja de Seguro Social,LinkedIn,2026-03-20,2500.0,3200.0,2,Gestión & Agile,"Buscamos un Scrum Master para nuestro equipo de tecnología en Caja de Seguro Social, Panamá.",1,"Excel,Jira"
189,.NET Consultant,.NET Consultant,Autoridad del Canal de Panamá (ACP),Computrabajo,2026-03-28,2000.0,2800.0,1,Backend,"En Autoridad del Canal de Panamá (ACP) requerimos .NET Consultant con experiencia en PostgreSQL, Python, Node.js para liderar nuestra transformación digital.",1,"PostgreSQL,Python,Node.js,Spring Boot"
190,UI Developer,UI Developer,Banistmo,LinkedIn,2026-03-05,1600.0,1900.0,2,Frontend,Gran oportunidad en Ciudad de Panamá. Banistmo busca UI Developer con al menos 2 años de experiencia.,1,"HTML,Git,React"
191,Administrador de Sistemas,Administrador de Sistemas,GBM Panamá,LinkedIn,2026-03-10,900.0,1400.0,2,Soporte & IT,Gran oportunidad en Ciudad de Panamá. GBM Panamá busca Administrador de Sistemas con al menos 2 años de experiencia.,1,"Jira,Linux,Windows Server,Cisco"
192,Java Engineer,Java Engineer,Cable & Wireless,LinkedIn,2025-12-30,2100.0,3300.0,3,Backend,"En Cable & Wireless requerimos Java Engineer con experiencia en PostgreSQL, Python, Node.js para liderar nuestra transformación digital.",1,"PostgreSQL,Python,Node.js,Java"
193,Administrador Cloud,Administrador Cloud,Dell Technologies Panamá,LinkedIn,2026-03-16,2800.0,3700.0,6,DevOps & Cloud,Gran oportunidad en Ciudad de Panamá. Dell Technologies Panamá busca Administrador Cloud con al menos 6 años de experiencia.,1,"Git,AWS,Azure"
194,Administrador de Sistemas,Administrador de Sistemas,Cable & Wireless,LinkedIn,2026-02-14,1100.0,1800.0,2,Soporte & IT,Gran oportunidad en Ciudad de Panamá. Cable & Wireless busca Administrador de Sistemas con al menos 2 años de experiencia.,1,"Excel,Jira,Linux,Windows Server,Cisco"
195,Soporte Técnico IT,Soporte Técnico IT,Autoridad del Canal de Panamá (ACP),Computrabajo,2026-02-15,900.0,1300.0,2,Soporte & IT,"En Autoridad del Canal de Panamá (ACP) requerimos Soporte Técnico IT con experiencia en Linux, Cisco, Jira para liderar nuestra transformación digital.",1,"Jira,Linux,Cisco"
196,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Telered,Konzerta,2026-03-04,2200.0,2900.0,2,DevOps & Cloud,"Buscamos un Cloud Infrastructure Specialist para nuestro equipo de tecnología en Telered, Panamá.",1,"AWS,Kubernetes,Docker,Azure,Linux"
197,IT Project Manager,IT Project Manager,GBM Panamá,Konzerta,2025-12-21,2200.0,3100.0,1,Gestión & Agile,"En GBM Panamá requerimos IT Project Manager con experiencia en Jira, Agile, Scrum para liderar nuestra transformación digital.",1,"Agile,Scrum,Jira"
198,Administrador de Sistemas,Administrador de Sistemas,EY Panamá,Konzerta,2026-04-24,1100.0,1500.0,3,Soporte & IT,"En EY Panamá requerimos Administrador de Sistemas con experiencia en Linux, Jira, Windows Server para liderar nuestra transformación digital.",1,"Excel,Jira,Linux,Windows Server,Cisco"
199,Python Developer,Python Developer,Banco General,Computrabajo,2026-03-17,2000.0,2600.0,2,Backend,"Buscamos un Python Developer para nuestro equipo de tecnología en Banco General, Panamá.",1,"PostgreSQL,Node.js,Java"
200,Administrador de Sistemas,Administrador de Sistemas,Copa Airlines,Konzerta,2026-01-09,900.0,1400.0,2,Soporte & IT,"En Copa Airlines requerimos Administrador de Sistemas con experiencia en Cisco, Linux para liderar nuestra transformación digital.",1,"Linux,Cisco"
